SKU,Cut,Finish,Alloy,Wall,Width,Height,Fits,Price,Name
OA6515-M,8',Mill Finish,6063-T5,"1/16""","3/8""","3/8""","1/4""",4.86,"Channel: Fits 1/4"""
OA2303-M,8',Mill Finish,6063-T5,"1/16""","1/2""","1/2""","3/8""",6.53,"Channel: Fits 3/8"""
OA8105-M,8',Mill Finish,6063-T5,"1/16""","1/2""","3/4""","3/8""",8.9,"Channel: Fits 3/8"""
OA8104-M,8',Mill Finish,6063-T5,"1/16""","1/2""","1""","3/8""",11.26,"Channel: Fits 3/8"""
OA8106-M,8',Mill Finish,6063-T5,"1/16""","3/4""","3/4""","5/8""",10.18,"Channel: Fits 5/8"""
OA5863-M,8',Mill Finish,6063-T5,"1/16""","1""","1/2""","7/8""",9.15,"Channel: Fits 7/8"""
OA2746-M,8',Mill Finish,6063-T5,"1/16""","1""","1""","7/8""",13.89,"Channel: Fits 7/8"""
OA2525-M,8',Mill Finish,6063-T5,"3/32""","1/2""","1/2""","5/16""",35.72,"Channel: Fits 5/16"""
OA9339-M,8',Mill Finish,6063-T5,"3/32""","3/4""","3/4""","9/16""",14.91,"Channel: Fits 9/16"""
OA9340-M,8',Mill Finish,6063-T5,"3/32""","1""","1""","13/16""",20.29,"Channel: Fits 13/16"""
OA9341-M,8',Mill Finish,6063-T5,"1/8""","1/2""","1/2""","1/4""",11.97,"Channel: Fits 1/4"""
OA8108-M,8',Mill Finish,6063-T5,"1/8""","1/2""","3/4""","1/4""",16.83,"Channel: Fits 1/4"""
OA8114-M,8',Mill Finish,6063-T5,"1/8""","3/4""","3/8""","1/2""",11.97,"Channel: Fits 1/2"""
OA8115-M,8',Mill Finish,6063-T5,"1/8""","3/4""","1/2""","1/2""",14.46,"Channel: Fits 1/2"""
OA8186-M,8',Mill Finish,6063-T5,"1/8""","3/4""","3/4""","1/2""",19.2,"Channel: Fits 1/2"""
OA1077-M,8',Mill Finish,6063-T5,"1/8""","3/4""","1""","1/2""",24,"Channel: Fits 1/2"""
OA5710-M,8',Mill Finish,6063-T5,"1/8""","1""","1/2""","3/4""",16.77,"Channel: Fits 3/4"""
OA8107-M,8',Mill Finish,6063-T5,"1/8""","1""","3/4""","3/4""",21.57,"Channel: Fits 3/4"""
OA7815-M,8',Mill Finish,6063-T5,"1/8""","1""","1""","3/4""",23.81,"Channel: Fits 3/4"""
OA9342-M,8',Mill Finish,6063-T5,"1/8""","1""","1-1/2""","3/4""",36.03,"Channel: Fits 3/4"""
OA9343-M,8',Mill Finish,6063-T5,"1/8""","1""","2""","3/4""",45.63,"Channel: Fits 3/4"""
OA9344-M,8',Mill Finish,6063-T5,"1/8""","1-1/4""","1""","1""",28.8,"Channel: Fits 1"""
OA8109-M,8',Mill Finish,6063-T5,"1/8""","1-1/4""","1-1/4""","1""",33.66,"Channel: Fits 1"""
OA8116-M,8',Mill Finish,6063-T5,"1/8""","1-1/2""","1/2""","1-1/4""",21.63,"Channel: Fits 1-1/4"""
OA9345-M,8',Mill Finish,6063-T5,"1/8""","1-1/2""","1""","1-1/4""",31.17,"Channel: Fits 1-1/4"""
OA9346-M,8',Mill Finish,6063-T5,"1/8""","1-1/2""","1-1/2""","1-1/4""",40.77,"Channel: Fits 1-1/4"""
OA9385-M,8',Mill Finish,6063-T5,"1/8""","1-1/2""","2""","1-1/4""",50.37,"Channel: Fits 1-1/4"""
OA9386-M,8',Mill Finish,6063-T5,"1/8""","1-3/4""","1/2""","1-1/2""",24.06,"Channel: Fits 1-1/2"""
OA8110-M,8',Mill Finish,6063-T5,"1/8""","1-3/4""","3/4""","1-1/2""",28.8,"Channel: Fits 1-1/2"""
OA8111-M,8',Mill Finish,6063-T5,"1/8""","1-3/4""","1""","1-1/2""",33.66,"Channel: Fits 1-1/2"""
OA9347-M,8',Mill Finish,6063-T5,"1/8""","1-3/4""","1-3/4""","1-1/2""",48,"Channel: Fits 1-1/2"""
OA9348-M,8',Mill Finish,6063-T5,"1/8""","1-3/4""","2""","1-1/2""",52.86,"Channel: Fits 1-1/2"""
OA8112-M,8',Mill Finish,6063-T5,"1/8""","2""","1/2""","1-3/4""",26.43,"Channel: Fits 1-3/4"""
OA9349-M,8',Mill Finish,6063-T5,"1/8""","2""","3/4""","1-3/4""",31.17,"Channel: Fits 1-3/4"""
OA1592-M,8',Mill Finish,6063-T5,"1/8""","2""","1""","1-3/4""",36.03,"Channel: Fits 1-3/4"""
OA9350-M,8',Mill Finish,6063-T5,"1/8""","2""","1-1/2""","1-3/4""",45.63,"Channel: Fits 1-3/4"""
OA9387-M,8',Mill Finish,6063-T5,"1/8""","2""","2""","1-3/4""",45.63,"Channel: Fits 1-3/4"""
OA9388-M,8',Mill Finish,6063-T5,"1/8""","2""","3""","1-3/4""",74.43,"Channel: Fits 1-3/4"""
OA9389-M,8',Mill Finish,6063-T5,"1/8""","2-1/2""","1""","2-1/4""",40.77,"Channel: Fits 2-1/4"""
OA9390-M,8',Mill Finish,6063-T5,"1/8""","2-1/2""","1-1/2""","2-1/4""",50.37,"Channel: Fits 2-1/4"""
OA9391-M,8',Mill Finish,6063-T5,"1/8""","2-1/2""","2""","2-1/4""",59.97,"Channel: Fits 2-1/4"""
OA9392-M,8',Mill Finish,6063-T5,"1/8""","2-1/2""","2-1/2""","2-1/4""",69.57,"Channel: Fits 2-1/4"""
OA8113-M,8',Mill Finish,6063-T5,"1/8""","3""","1""","2-3/4""",45.63,"Channel: Fits 2-3/4"""
OA9351-M,8',Mill Finish,6063-T5,"1/8""","3""","1-1/2""","2-3/4""",55.23,"Channel: Fits 2-3/4"""
OA9352-M,8',Mill Finish,6063-T5,"1/8""","3""","2""","2-3/4""",64.83,"Channel: Fits 2-3/4"""
OA8102-M,8',Mill Finish,6063-T5,"1/8""","3""","3""","2-3/4""",84.03,"Channel: Fits 2-3/4"""
OA9353-M,8',Mill Finish,6063-T5,"1/8""","3""","4""","2-3/4""",103.23,"Channel: Fits 2-3/4"""
OA9354-M,8',Mill Finish,6063-T5,"1/8""","3-1/2""","1""","3-1/4""",50.37,"Channel: Fits 3-1/4"""
OA9355-M,8',Mill Finish,6063-T5,"1/8""","3-1/2""","2""","3-1/4""",69.57,"Channel: Fits 3-1/4"""
OA8103-M,8',Mill Finish,6063-T5,"1/8""","4""","1""","3-3/4""",55.23,"Channel: Fits 3-3/4"""
OA9356-M,8',Mill Finish,6063-T5,"1/8""","4""","2""","3-3/4""",74.43,"Channel: Fits 3-3/4"""
OA9357-M,8',Mill Finish,6063-T5,"1/8""","4""","3""","3-3/4""",93.63,"Channel: Fits 3-3/4"""
OA9358-M,8',Mill Finish,6063-T5,"1/8""","4""","4""","3-3/4""",112.83,"Channel: Fits 3-3/4"""
OA9359-M,8',Mill Finish,6063-T5,"3/16""","5""","1""","4-5/8""",95.62,"Channel: Fits 4-5/8"""
OA8119-M,8',Mill Finish,6063-T5,"3/16""","5""","2""","4-5/8""",99.63,"Channel: Fits 4-5/8"""
OA9360-M,8',Mill Finish,6063-T5,"1/4""","2""","1""","1-1/2""",67.2,"Channel: Fits 1-1/2"""
OA8118-M,8',Mill Finish,6063-T5,"1/4""","2""","2""","1-1/2""",105.6,"Channel: Fits 1-1/2"""
OA9361-M,8',Mill Finish,6063-T5,"1/4""","3""","1""","2-1/2""",86.4,"Channel: Fits 2-1/2"""
OA9362-M,8',Mill Finish,6063-T5,"1/4""","3""","2""","2-1/2""",124.8,"Channel: Fits 2-1/2"""
OA9363-M,8',Mill Finish,6063-T5,"1/4""","4""","1""","3-1/2""",105.6,"Channel: Fits 3-1/2"""
OA9364-M,8',Mill Finish,6063-T5,"1/4""","4""","2""","3-1/2""",144,"Channel: Fits 3-1/2"""
